Country,Region,University_Name,Degree_Level,Field_of_Study,Graduation_Year,Employment_Rate_6_Months (%),Employment_Rate_12_Months (%),Average_Starting_Salary_USD,Top_Industry,Job_Role,Skill_1,Skill_2,Skill_3,Skill_Demand_Score (1–100),Remote_Work_Availability (%),Employer_Reputation_Score (1–100),Year
Mexico,Latin America,UNAM,Bachelor,Data Science & AI,2017,89.1,91.9,20400,Technology/Consulting,NLP Specialist,Deep Learning,Big Data,R,62,14.1,90,2017
Israel,Middle East & Africa,Hebrew University of Jerusalem,Bachelor,Engineering,2023,85.0,90.7,68600,Manufacturing/Construction,Mechanical Engineer,SolidWorks,AutoCAD,Lean Six Sigma,59,73.6,93,2023
Sweden,Europe,KTH Royal Institute of Technology,PhD,Business & Finance,2024,90.8,90.8,105500,Finance/Consulting,Marketing Manager,Financial Modeling,Data Analysis,Strategic Planning,76,80.9,65,2024
South Africa,Middle East & Africa,University of Cape Town,PhD,Social Sciences,2016,73.1,77.6,31300,Government/NGO,Policy Analyst,Communication,Data Analysis,Qualitative Research,55,17.4,62,2016
South Korea,Asia-Pacific,Seoul National University,Master,Computer Science,2019,88.7,95.6,56300,Technology,Software Engineer,Cybersecurity,Java,SQL,81,7.4,77,2019
Singapore,Asia-Pacific,NUS,Bachelor,Data Science & AI,2017,94.8,98.4,72500,Technology/Consulting,AI Consultant,Big Data,NLP,Machine Learning,70,8.0,48,2017
Brazil,Latin America,University of São Paulo,Master,Natural Sciences,2019,82.6,87.6,27200,Research/Academia,Physicist,Statistical Analysis,Laboratory Skills,Scientific Writing,55,5.0,63,2019
Canada,North America,University of Toronto,PhD,Natural Sciences,2017,79.0,83.7,73700,Research/Academia,Chemist,Statistical Analysis,Scientific Writing,Experimental Design,58,19.4,72,2017
Australia,Asia-Pacific,ANU,Master,Engineering,2023,80.9,82.0,87500,Manufacturing/Construction,Electrical Engineer,Project Management,MATLAB,Lean Six Sigma,65,70.6,100,2023
Argentina,Latin America,University of Buenos Aires,Bachelor,Engineering,2018,81.5,86.4,15600,Manufacturing/Construction,Civil Engineer,AutoCAD,MATLAB,Lean Six Sigma,44,15.7,81,2018
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Bachelor,Social Sciences,2025,75.5,83.3,51100,Government/NGO,Policy Analyst,Public Policy,Data Analysis,Communication,55,90.0,100,2025
China,Asia-Pacific,Fudan University,Bachelor,Data Science & AI,2025,87.2,92.4,43100,Technology/Consulting,NLP Specialist,Data Visualization,Deep Learning,Big Data,84,74.5,71,2025
Netherlands,Europe,University of Amsterdam,Bachelor,Computer Science,2016,92.4,95.5,49100,Technology,Cybersecurity Analyst,React,DevOps,Cloud Computing,87,6.1,65,2016
Mexico,Latin America,UNAM,PhD,Social Sciences,2025,76.8,82.3,34200,Government/NGO,Sociologist,Public Policy,Data Analysis,Qualitative Research,83,73.9,72,2025
USA,North America,Stanford,Bachelor,Healthcare & Medicine,2022,93.9,96.4,85900,Healthcare,Public Health Specialist,Patient Care,Diagnostics,Clinical Research,50,65.2,74,2022
Brazil,Latin America,University of São Paulo,Master,Natural Sciences,2023,83.0,86.6,30200,Research/Academia,Physicist,Laboratory Skills,Experimental Design,Scientific Writing,68,72.9,59,2023
Germany,Europe,Heidelberg University,Master,Business & Finance,2018,83.6,86.2,82800,Finance/Consulting,Marketing Manager,Data Analysis,Financial Modeling,Market Research,62,5.1,81,2018
Canada,North America,McGill University,Master,Data Science & AI,2021,87.1,94.1,96500,Technology/Consulting,Data Analyst,NLP,Big Data,Data Visualization,86,58.2,98,2021
France,Europe,PSL University,Bachelor,Healthcare & Medicine,2023,86.2,89.5,64100,Healthcare,Medical Doctor,Clinical Research,Medical Coding,Patient Care,57,69.2,75,2023
Canada,North America,UBC,PhD,Engineering,2015,87.1,92.2,83700,Manufacturing/Construction,Mechanical Engineer,Lean Six Sigma,AutoCAD,SolidWorks,64,8.7,100,2015
UAE,Middle East & Africa,Khalifa University,Master,Computer Science,2024,87.0,89.8,94600,Technology,Software Engineer,Java,Cybersecurity,React,92,77.8,80,2024
UAE,Middle East & Africa,Khalifa University,PhD,Healthcare & Medicine,2024,92.6,95.9,124400,Healthcare,Public Health Specialist,Medical Coding,Patient Care,Clinical Research,52,75.5,82,2024
France,Europe,Ecole Polytechnique,Bachelor,Social Sciences,2025,73.8,79.1,48200,Government/NGO,Policy Analyst,Communication,Qualitative Research,Data Analysis,73,81.2,72,2025
Canada,North America,UBC,PhD,Computer Science,2016,87.3,93.0,92700,Technology,AI Researcher,Cybersecurity,Java,SQL,77,15.4,85,2016
France,Europe,PSL University,Bachelor,Data Science & AI,2019,85.3,91.3,53500,Technology/Consulting,Machine Learning Engineer,Deep Learning,Data Visualization,R,83,12.6,100,2019
South Africa,Middle East & Africa,University of Cape Town,Bachelor,Data Science & AI,2016,95.7,100.0,32300,Technology/Consulting,AI Consultant,Machine Learning,Big Data,Deep Learning,78,8.4,81,2016
Australia,Asia-Pacific,University of Melbourne,PhD,Data Science & AI,2018,91.8,95.8,108600,Technology/Consulting,AI Consultant,NLP,R,Data Visualization,76,21.6,41,2018
USA,North America,UC Berkeley,Master,Computer Science,2015,83.2,87.2,85900,Technology,Data Scientist,Cloud Computing,Java,SQL,80,10.3,53,2015
Argentina,Latin America,University of Buenos Aires,PhD,Computer Science,2016,96.4,99.9,23600,Technology,Cloud Architect,Python,React,Java,74,10.2,60,2016
Canada,North America,UBC,PhD,Engineering,2021,86.2,87.1,109000,Manufacturing/Construction,Electrical Engineer,Project Management,AutoCAD,Lean Six Sigma,63,43.4,82,2021
Canada,North America,University of Toronto,PhD,Engineering,2025,82.4,88.4,106600,Manufacturing/Construction,Robotics Engineer,AutoCAD,MATLAB,SolidWorks,78,78.0,64,2025
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Bachelor,Natural Sciences,2017,76.7,85.3,39200,Research/Academia,Biologist,Experimental Design,Laboratory Skills,Scientific Writing,58,5.0,83,2017
Argentina,Latin America,University of Buenos Aires,Master,Engineering,2016,86.4,88.4,30100,Manufacturing/Construction,Civil Engineer,SolidWorks,AutoCAD,Project Management,47,16.3,59,2016
Netherlands,Europe,University of Amsterdam,Master,Natural Sciences,2018,85.1,88.3,59300,Research/Academia,Environmental Scientist,Statistical Analysis,Laboratory Skills,Scientific Writing,55,5.0,54,2018
Japan,Asia-Pacific,University of Tokyo,Master,Data Science & AI,2025,85.0,93.3,82800,Technology/Consulting,Machine Learning Engineer,Big Data,Data Visualization,R,75,85.6,71,2025
Canada,North America,University of Toronto,PhD,Data Science & AI,2015,85.8,93.1,104400,Technology/Consulting,AI Consultant,Machine Learning,Big Data,Data Visualization,70,5.1,76,2015
South Korea,Asia-Pacific,Seoul National University,Master,Healthcare & Medicine,2018,88.2,93.4,62000,Healthcare,Medical Doctor,Medical Coding,Clinical Research,Patient Care,52,10.6,79,2018
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Master,Computer Science,2025,85.1,94.3,91100,Technology,Software Engineer,Cloud Computing,Cybersecurity,SQL,70,88.5,78,2025
Australia,Asia-Pacific,University of Sydney,PhD,Business & Finance,2020,79.9,84.5,107000,Finance/Consulting,Financial Analyst,Data Analysis,Excel,Market Research,55,34.1,82,2020
Netherlands,Europe,University of Amsterdam,PhD,Social Sciences,2017,79.5,86.3,65300,Government/NGO,Sociologist,Communication,Qualitative Research,Public Policy,57,14.1,79,2017
India,Asia-Pacific,IIT Delhi,PhD,Healthcare & Medicine,2025,90.2,96.7,40200,Healthcare,Pharmacist,Medical Coding,Patient Care,Diagnostics,76,89.8,71,2025
Switzerland,Europe,EPFL,PhD,Engineering,2025,80.0,86.1,162500,Manufacturing/Construction,Electrical Engineer,AutoCAD,MATLAB,SolidWorks,67,87.8,86,2025
USA,North America,Harvard,Bachelor,Natural Sciences,2018,84.1,91.7,61200,Research/Academia,Chemist,Statistical Analysis,Laboratory Skills,Scientific Writing,56,13.4,65,2018
Argentina,Latin America,University of Buenos Aires,Master,Business & Finance,2025,80.6,85.8,28200,Finance/Consulting,Marketing Manager,Market Research,Strategic Planning,Excel,75,81.8,100,2025
Mexico,Latin America,UNAM,Bachelor,Social Sciences,2015,73.9,81.2,9000,Government/NGO,Economist,Public Policy,Qualitative Research,Data Analysis,57,13.1,79,2015
Israel,Middle East & Africa,Technion,PhD,Engineering,2016,78.5,83.7,89700,Manufacturing/Construction,Electrical Engineer,SolidWorks,Project Management,Lean Six Sigma,45,14.9,67,2016
Argentina,Latin America,University of Buenos Aires,PhD,Business & Finance,2017,81.4,87.2,22700,Finance/Consulting,Financial Analyst,Data Analysis,Market Research,Strategic Planning,48,5.9,73,2017
Australia,Asia-Pacific,University of Sydney,PhD,Engineering,2019,80.5,84.5,99300,Manufacturing/Construction,Electrical Engineer,SolidWorks,AutoCAD,MATLAB,60,5.0,48,2019
France,Europe,Ecole Polytechnique,Master,Healthcare & Medicine,2016,90.2,95.8,62800,Healthcare,Pharmacist,Patient Care,Clinical Research,Medical Coding,66,14.3,67,2016
Sweden,Europe,KTH Royal Institute of Technology,Bachelor,Business & Finance,2021,75.0,80.0,60300,Finance/Consulting,Investment Banker,Excel,Data Analysis,Strategic Planning,59,53.2,57,2021
Netherlands,Europe,University of Amsterdam,PhD,Social Sciences,2015,90.7,95.4,62400,Government/NGO,Sociologist,Data Analysis,Qualitative Research,Public Policy,54,13.5,63,2015
South Korea,Asia-Pacific,KAIST,PhD,Social Sciences,2023,83.1,88.3,62700,Government/NGO,Sociologist,Qualitative Research,Data Analysis,Public Policy,58,70.2,77,2023
Mexico,Latin America,UNAM,Master,Data Science & AI,2025,96.0,100.0,43300,Technology/Consulting,NLP Specialist,NLP,Data Visualization,Deep Learning,82,90.0,72,2025
Switzerland,Europe,ETH Zurich,Master,Healthcare & Medicine,2024,87.2,90.5,145500,Healthcare,Biomedical Researcher,Clinical Research,Diagnostics,Patient Care,62,58.8,62,2024
Brazil,Latin America,University of São Paulo,Master,Business & Finance,2020,82.0,87.7,28300,Finance/Consulting,Management Consultant,Strategic Planning,Data Analysis,Market Research,78,49.5,61,2020
Mexico,Latin America,UNAM,Master,Natural Sciences,2016,83.7,86.1,15700,Research/Academia,Biologist,Experimental Design,Laboratory Skills,Scientific Writing,70,15.9,62,2016
Sweden,Europe,KTH Royal Institute of Technology,PhD,Computer Science,2015,99.0,100.0,75900,Technology,Cloud Architect,Java,SQL,Python,82,5.0,61,2015
Germany,Europe,TU Munich,Master,Social Sciences,2016,81.5,85.6,51200,Government/NGO,Sociologist,Qualitative Research,Data Analysis,Communication,58,5.0,67,2016
Switzerland,Europe,ETH Zurich,Bachelor,Data Science & AI,2016,92.6,99.0,89000,Technology/Consulting,NLP Specialist,Big Data,Machine Learning,R,60,5.0,89,2016
Argentina,Latin America,University of Buenos Aires,Bachelor,Healthcare & Medicine,2025,86.3,94.4,24800,Healthcare,Medical Doctor,Patient Care,Clinical Research,Diagnostics,71,90.0,71,2025
UAE,Middle East & Africa,Khalifa University,PhD,Business & Finance,2025,91.8,96.3,125900,Finance/Consulting,Management Consultant,Excel,Financial Modeling,Market Research,79,90.0,90,2025
Canada,North America,McGill University,Bachelor,Business & Finance,2020,83.4,90.5,57500,Finance/Consulting,Financial Analyst,Data Analysis,Strategic Planning,Market Research,42,28.2,40,2020
South Africa,Middle East & Africa,University of Cape Town,Master,Business & Finance,2024,84.8,92.8,39900,Finance/Consulting,Investment Banker,Excel,Market Research,Financial Modeling,68,90.0,49,2024
South Korea,Asia-Pacific,Seoul National University,Master,Healthcare & Medicine,2024,91.0,96.7,64400,Healthcare,Pharmacist,Diagnostics,Patient Care,Clinical Research,67,59.3,68,2024
India,Asia-Pacific,IIT Delhi,Bachelor,Data Science & AI,2019,93.3,99.1,17600,Technology/Consulting,Machine Learning Engineer,R,NLP,Big Data,68,7.4,54,2019
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Bachelor,Social Sciences,2021,84.8,87.8,41600,Government/NGO,Human Resources Specialist,Data Analysis,Communication,Public Policy,67,44.7,58,2021
Mexico,Latin America,UNAM,Bachelor,Data Science & AI,2018,84.8,88.7,22900,Technology/Consulting,AI Consultant,Data Visualization,Deep Learning,R,64,19.8,70,2018
Argentina,Latin America,University of Buenos Aires,Master,Social Sciences,2023,82.3,87.1,15000,Government/NGO,Sociologist,Communication,Qualitative Research,Data Analysis,63,76.1,81,2023
Japan,Asia-Pacific,University of Tokyo,Bachelor,Social Sciences,2018,77.1,81.6,33100,Government/NGO,Economist,Communication,Public Policy,Data Analysis,32,5.0,90,2018
Sweden,Europe,Karolinska Institute,Master,Social Sciences,2024,80.0,86.2,69200,Government/NGO,Sociologist,Communication,Public Policy,Data Analysis,71,90.0,86,2024
France,Europe,PSL University,Master,Computer Science,2023,86.5,88.3,77700,Technology,Software Engineer,Java,Cloud Computing,Python,88,62.4,48,2023
South Africa,Middle East & Africa,University of Cape Town,PhD,Natural Sciences,2022,77.6,86.0,37900,Research/Academia,Environmental Scientist,Laboratory Skills,Experimental Design,Statistical Analysis,72,59.9,92,2022
Mexico,Latin America,UNAM,Bachelor,Computer Science,2019,85.7,93.7,22700,Technology,Software Engineer,SQL,DevOps,Python,83,5.0,67,2019
Mexico,Latin America,UNAM,PhD,Social Sciences,2025,76.1,82.9,25800,Government/NGO,Sociologist,Public Policy,Data Analysis,Communication,89,76.0,78,2025
USA,North America,MIT,PhD,Natural Sciences,2021,80.6,84.4,96600,Research/Academia,Environmental Scientist,Statistical Analysis,Scientific Writing,Experimental Design,53,50.5,57,2021
Mexico,Latin America,UNAM,Master,Healthcare & Medicine,2024,91.0,95.5,35000,Healthcare,Biomedical Researcher,Clinical Research,Medical Coding,Diagnostics,58,74.2,81,2024
France,Europe,PSL University,Bachelor,Engineering,2017,75.1,80.3,50600,Manufacturing/Construction,Mechanical Engineer,Lean Six Sigma,AutoCAD,SolidWorks,61,5.0,78,2017
Mexico,Latin America,UNAM,Master,Computer Science,2018,94.1,97.6,23700,Technology,Cybersecurity Analyst,Cloud Computing,React,SQL,57,5.0,70,2018
USA,North America,Harvard,PhD,Healthcare & Medicine,2025,88.5,94.8,149100,Healthcare,Biomedical Researcher,Patient Care,Diagnostics,Clinical Research,53,89.3,51,2025
France,Europe,PSL University,Bachelor,Computer Science,2017,90.2,93.5,49300,Technology,Cloud Architect,SQL,Cloud Computing,Cybersecurity,70,15.0,61,2017
South Korea,Asia-Pacific,Seoul National University,Master,Social Sciences,2019,75.6,81.7,46900,Government/NGO,Human Resources Specialist,Data Analysis,Qualitative Research,Communication,72,5.0,58,2019
USA,North America,UC Berkeley,PhD,Data Science & AI,2024,92.0,97.7,152200,Technology/Consulting,Data Analyst,R,Machine Learning,Big Data,81,80.9,67,2024
UAE,Middle East & Africa,Khalifa University,PhD,Computer Science,2017,94.3,99.9,101100,Technology,AI Researcher,DevOps,Cybersecurity,SQL,69,7.6,63,2017
Switzerland,Europe,EPFL,PhD,Natural Sciences,2022,80.9,86.5,125400,Research/Academia,Environmental Scientist,Laboratory Skills,Statistical Analysis,Scientific Writing,84,68.7,65,2022
Japan,Asia-Pacific,University of Tokyo,Bachelor,Data Science & AI,2021,88.0,88.9,65800,Technology/Consulting,NLP Specialist,NLP,Data Visualization,R,71,31.3,64,2021
UAE,Middle East & Africa,Khalifa University,Bachelor,Data Science & AI,2019,98.4,100.0,68500,Technology/Consulting,Machine Learning Engineer,R,Machine Learning,Data Visualization,75,14.1,40,2019
Israel,Middle East & Africa,Hebrew University of Jerusalem,Bachelor,Engineering,2023,83.9,85.9,70200,Manufacturing/Construction,Robotics Engineer,MATLAB,SolidWorks,Lean Six Sigma,77,73.4,63,2023
USA,North America,Harvard,PhD,Engineering,2019,94.4,99.7,112100,Manufacturing/Construction,Mechanical Engineer,SolidWorks,Lean Six Sigma,AutoCAD,60,7.7,57,2019
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Master,Healthcare & Medicine,2015,87.0,92.1,68600,Healthcare,Medical Doctor,Diagnostics,Clinical Research,Medical Coding,45,12.4,75,2015
Brazil,Latin America,University of São Paulo,Master,Social Sciences,2019,78.7,83.2,28200,Government/NGO,Human Resources Specialist,Communication,Qualitative Research,Data Analysis,48,7.8,75,2019
Netherlands,Europe,TU Delft,Master,Engineering,2024,76.6,83.4,82700,Manufacturing/Construction,Electrical Engineer,Lean Six Sigma,Project Management,AutoCAD,81,84.1,98,2024
Mexico,Latin America,UNAM,Bachelor,Data Science & AI,2019,83.8,85.2,20300,Technology/Consulting,Data Analyst,Big Data,NLP,Data Visualization,92,13.3,69,2019
Argentina,Latin America,University of Buenos Aires,Master,Data Science & AI,2023,85.6,95.5,29700,Technology/Consulting,AI Consultant,Big Data,Data Visualization,NLP,87,71.1,80,2023
Sweden,Europe,KTH Royal Institute of Technology,PhD,Business & Finance,2018,84.1,87.5,90900,Finance/Consulting,Marketing Manager,Data Analysis,Financial Modeling,Strategic Planning,60,19.4,90,2018
Mexico,Latin America,UNAM,Master,Computer Science,2017,88.7,91.7,34200,Technology,Software Engineer,Cybersecurity,SQL,Cloud Computing,72,10.3,86,2017
Brazil,Latin America,University of São Paulo,Bachelor,Social Sciences,2017,87.6,92.3,8900,Government/NGO,Policy Analyst,Data Analysis,Communication,Public Policy,49,5.0,45,2017
Mexico,Latin America,UNAM,PhD,Social Sciences,2021,83.4,85.8,30900,Government/NGO,Sociologist,Public Policy,Qualitative Research,Communication,49,46.6,95,2021
Argentina,Latin America,University of Buenos Aires,PhD,Computer Science,2018,85.5,90.0,27600,Technology,Data Scientist,React,SQL,Cloud Computing,73,5.0,69,2018
Canada,North America,University of Toronto,PhD,Social Sciences,2016,86.5,95.2,64300,Government/NGO,Policy Analyst,Data Analysis,Public Policy,Qualitative Research,63,8.7,53,2016
Canada,North America,University of Toronto,Master,Data Science & AI,2020,91.5,96.6,100900,Technology/Consulting,NLP Specialist,Data Visualization,Deep Learning,Big Data,79,42.0,67,2020
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Bachelor,Computer Science,2024,87.3,92.2,61700,Technology,Data Scientist,SQL,DevOps,Cybersecurity,82,72.9,71,2024
Argentina,Latin America,University of Buenos Aires,Bachelor,Business & Finance,2025,87.5,87.5,20000,Finance/Consulting,Investment Banker,Excel,Data Analysis,Strategic Planning,80,90.0,40,2025
Mexico,Latin America,UNAM,Bachelor,Business & Finance,2020,78.1,80.3,20300,Finance/Consulting,Marketing Manager,Market Research,Excel,Data Analysis,52,28.9,96,2020
South Korea,Asia-Pacific,KAIST,Bachelor,Business & Finance,2022,86.4,92.8,55200,Finance/Consulting,Management Consultant,Financial Modeling,Strategic Planning,Data Analysis,52,54.8,77,2022
South Africa,Middle East & Africa,University of Cape Town,Bachelor,Natural Sciences,2025,83.6,88.1,22000,Research/Academia,Physicist,Experimental Design,Statistical Analysis,Laboratory Skills,66,90.0,76,2025
Israel,Middle East & Africa,Hebrew University of Jerusalem,Bachelor,Healthcare & Medicine,2020,95.8,98.6,69900,Healthcare,Public Health Specialist,Patient Care,Medical Coding,Clinical Research,66,45.9,65,2020
Sweden,Europe,KTH Royal Institute of Technology,PhD,Social Sciences,2015,76.7,83.6,61500,Government/NGO,Sociologist,Communication,Qualitative Research,Public Policy,48,7.4,85,2015
UK,Europe,Imperial College London,Master,Social Sciences,2021,74.2,76.1,52300,Government/NGO,Sociologist,Qualitative Research,Public Policy,Communication,68,37.2,96,2021
South Africa,Middle East & Africa,University of Cape Town,Master,Natural Sciences,2022,89.7,95.2,21700,Research/Academia,Physicist,Scientific Writing,Experimental Design,Statistical Analysis,63,54.6,75,2022
Brazil,Latin America,University of São Paulo,Bachelor,Natural Sciences,2025,85.5,90.7,24400,Research/Academia,Physicist,Experimental Design,Scientific Writing,Statistical Analysis,71,86.4,69,2025
Brazil,Latin America,University of São Paulo,PhD,Computer Science,2022,84.4,86.8,47000,Technology,Cloud Architect,Cloud Computing,React,SQL,91,61.7,67,2022
Argentina,Latin America,University of Buenos Aires,Bachelor,Social Sciences,2018,81.7,85.7,12900,Government/NGO,Economist,Data Analysis,Public Policy,Qualitative Research,48,11.0,55,2018
Canada,North America,UBC,Master,Social Sciences,2021,72.7,79.8,61400,Government/NGO,Policy Analyst,Public Policy,Data Analysis,Communication,66,52.6,84,2021
South Korea,Asia-Pacific,Seoul National University,Bachelor,Engineering,2023,85.1,86.4,58100,Manufacturing/Construction,Electrical Engineer,Project Management,SolidWorks,Lean Six Sigma,53,63.8,70,2023
Israel,Middle East & Africa,Technion,Master,Social Sciences,2016,77.6,83.0,56800,Government/NGO,Sociologist,Data Analysis,Communication,Qualitative Research,44,6.9,48,2016
Canada,North America,University of Toronto,Master,Business & Finance,2018,74.5,77.5,68800,Finance/Consulting,Management Consultant,Excel,Financial Modeling,Market Research,66,5.3,100,2018
South Africa,Middle East & Africa,University of Cape Town,Master,Data Science & AI,2018,92.2,95.5,41500,Technology/Consulting,Data Analyst,Machine Learning,Data Visualization,NLP,83,7.1,71,2018
UAE,Middle East & Africa,Khalifa University,Master,Engineering,2017,80.8,88.1,81000,Manufacturing/Construction,Civil Engineer,Lean Six Sigma,Project Management,AutoCAD,46,9.8,96,2017
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Master,Natural Sciences,2017,90.3,96.7,48800,Research/Academia,Chemist,Laboratory Skills,Statistical Analysis,Experimental Design,48,13.2,84,2017
South Africa,Middle East & Africa,University of Cape Town,Bachelor,Social Sciences,2015,72.1,75.7,21800,Government/NGO,Economist,Qualitative Research,Public Policy,Data Analysis,47,9.6,79,2015
South Africa,Middle East & Africa,University of Cape Town,Bachelor,Data Science & AI,2015,83.3,89.1,29500,Technology/Consulting,Machine Learning Engineer,Deep Learning,Data Visualization,Machine Learning,76,12.8,86,2015
Mexico,Latin America,UNAM,PhD,Healthcare & Medicine,2016,95.3,100.0,38200,Healthcare,Medical Doctor,Diagnostics,Medical Coding,Clinical Research,35,12.1,73,2016
South Africa,Middle East & Africa,University of Cape Town,PhD,Computer Science,2015,86.6,89.5,43600,Technology,Software Engineer,DevOps,SQL,React,80,9.8,80,2015
Argentina,Latin America,University of Buenos Aires,Bachelor,Computer Science,2020,90.1,97.0,19300,Technology,Data Scientist,Cybersecurity,Java,Python,74,41.0,63,2020
Australia,Asia-Pacific,ANU,PhD,Healthcare & Medicine,2020,91.5,96.9,112600,Healthcare,Pharmacist,Diagnostics,Medical Coding,Patient Care,55,52.6,56,2020
Israel,Middle East & Africa,Technion,PhD,Computer Science,2025,90.8,98.7,126800,Technology,Cybersecurity Analyst,React,Cybersecurity,Java,91,90.0,47,2025
Brazil,Latin America,University of São Paulo,Master,Natural Sciences,2022,85.7,90.9,29400,Research/Academia,Biologist,Experimental Design,Statistical Analysis,Laboratory Skills,74,54.8,91,2022
Mexico,Latin America,UNAM,Master,Engineering,2025,79.4,83.5,42000,Manufacturing/Construction,Mechanical Engineer,SolidWorks,AutoCAD,Lean Six Sigma,84,90.0,62,2025
Canada,North America,University of Toronto,PhD,Social Sciences,2020,81.6,83.9,71600,Government/NGO,Sociologist,Qualitative Research,Communication,Public Policy,50,30.0,58,2020
Canada,North America,McGill University,PhD,Natural Sciences,2021,84.2,92.3,84700,Research/Academia,Biologist,Laboratory Skills,Statistical Analysis,Scientific Writing,52,59.8,66,2021
USA,North America,Stanford,PhD,Business & Finance,2018,86.4,89.1,110300,Finance/Consulting,Management Consultant,Financial Modeling,Excel,Data Analysis,59,10.8,77,2018
Canada,North America,UBC,Bachelor,Natural Sciences,2021,92.3,96.0,54500,Research/Academia,Physicist,Laboratory Skills,Scientific Writing,Statistical Analysis,56,43.8,61,2021
France,Europe,Ecole Polytechnique,Master,Data Science & AI,2015,97.2,100.0,63800,Technology/Consulting,Machine Learning Engineer,Deep Learning,NLP,Data Visualization,64,5.8,77,2015
Sweden,Europe,KTH Royal Institute of Technology,Bachelor,Social Sciences,2023,83.2,88.6,44600,Government/NGO,Human Resources Specialist,Qualitative Research,Data Analysis,Communication,50,85.5,96,2023
India,Asia-Pacific,IIT Delhi,Master,Social Sciences,2020,79.3,84.9,17300,Government/NGO,Economist,Public Policy,Data Analysis,Communication,63,46.6,100,2020
UAE,Middle East & Africa,Khalifa University,Master,Business & Finance,2025,77.3,79.5,89400,Finance/Consulting,Marketing Manager,Data Analysis,Market Research,Excel,62,89.7,96,2025
Mexico,Latin America,UNAM,PhD,Computer Science,2020,94.1,99.1,34100,Technology,Cloud Architect,DevOps,Python,Cloud Computing,91,65.3,62,2020
Argentina,Latin America,University of Buenos Aires,Bachelor,Engineering,2021,85.2,91.6,15600,Manufacturing/Construction,Civil Engineer,Lean Six Sigma,AutoCAD,SolidWorks,80,55.8,64,2021
India,Asia-Pacific,IIT Bombay,Master,Data Science & AI,2020,96.8,100.0,34000,Technology/Consulting,NLP Specialist,Machine Learning,NLP,Data Visualization,85,50.7,87,2020
Germany,Europe,Heidelberg University,PhD,Social Sciences,2018,86.2,90.9,76400,Government/NGO,Policy Analyst,Communication,Public Policy,Qualitative Research,57,16.0,57,2018
Brazil,Latin America,University of São Paulo,Bachelor,Natural Sciences,2020,78.0,83.1,23000,Research/Academia,Environmental Scientist,Experimental Design,Scientific Writing,Statistical Analysis,72,41.9,70,2020
China,Asia-Pacific,Peking University,Bachelor,Data Science & AI,2017,93.7,100.0,31100,Technology/Consulting,Machine Learning Engineer,Big Data,Data Visualization,R,95,8.5,73,2017
Brazil,Latin America,University of São Paulo,Master,Healthcare & Medicine,2021,99.0,100.0,37200,Healthcare,Public Health Specialist,Clinical Research,Patient Care,Medical Coding,64,56.1,72,2021
France,Europe,PSL University,Bachelor,Healthcare & Medicine,2025,91.0,98.1,67100,Healthcare,Public Health Specialist,Clinical Research,Medical Coding,Diagnostics,59,90.0,59,2025
